source	target	weight	correlation
Ensifer	Pantoea	0.803571428571429	0.803571428571429
Ensifer	Streptomyces	0.821428571428571	0.821428571428571
Ensifer	Chryseobacterium	0.7	-0.7
Ensifer	Novosphingobium	0.914285714285714	-0.914285714285714
Ensifer	Glycomyces	0.892857142857143	-0.892857142857143
Ensifer	Bryobacter	0.960714285714286	-0.960714285714286
Ensifer	Gaiella	0.978571428571429	-0.978571428571429
Ensifer	Hyphomicrobium	0.821428571428571	-0.821428571428571
Ensifer	Massilia	0.864285714285714	-0.864285714285714
Ensifer	Bradyrhizobium	0.960714285714286	-0.960714285714286
Ensifer	Roseiflexus	0.957142857142857	-0.957142857142857
Ensifer	Promicromonospora	0.907142857142857	-0.907142857142857
Ensifer	Agromyces	0.743521297788961	0.743521297788961
Ensifer	Enterococcus	0.917857142857143	-0.917857142857143
Ensifer	Candidatus_Nitrososphaera	0.767857142857143	-0.767857142857143
Ensifer	Variovorax	0.882142857142857	-0.882142857142857
Ensifer	Woodsholea	0.899647355829481	-0.899647355829481
Ensifer	Terribacillus	0.896428571428571	-0.896428571428571
Ensifer	Illumatobacter	0.884718851936384	-0.884718851936384
Ensifer	Gemmatimonas	0.714285714285714	0.714285714285714
Ensifer	Terrimonas	0.721428571428571	-0.721428571428571
Ensifer	Chitinophaga	0.925	-0.925
Ensifer	Bifidobacterium	0.94191279792015	-0.94191279792015
Ensifer	Nocardioides	0.839285714285714	-0.839285714285714
Ensifer	unidentified_Gemmatimonadetes	0.893655405996347	-0.893655405996347
Ensifer	Methylophilus	0.882142857142857	-0.882142857142857
Ensifer	Opitutus	0.974916656516409	-0.974916656516409
Ensifer	Pseudonocardia	0.957142857142857	-0.957142857142857
Ensifer	Polycyclovorans	0.842857142857143	0.842857142857143
Ensifer	Bosea	0.929157324317757	-0.929157324317757
Ensifer	Paenibacillus	0.775	-0.775
Ensifer	Microvirga	0.917857142857143	-0.917857142857143
Ensifer	Skermanella	0.878571428571429	-0.878571428571429
Ensifer	Sorangium	0.872207676252435	-0.872207676252435
Ensifer	Cellvibrio	0.782142857142857	-0.782142857142857
Ensifer	Candidatus_Glomeribacter	0.732142857142857	-0.732142857142857
Ensifer	Haloferula	0.903571428571429	-0.903571428571429
Ensifer	Parasegetibacter	0.96157321685207	-0.96157321685207
Ensifer	unidentified_GR-WP33-30	0.841823392448559	-0.841823392448559
Ensifer	Variibacter	0.946428571428571	-0.946428571428571
Ensifer	Kribbella	0.846428571428571	-0.846428571428571
Ensifer	Lysinimonas	0.7	0.7
Ensifer	Rhizocola	0.978571428571429	-0.978571428571429
Ensifer	Escherichia-Shigella	0.957142857142857	-0.957142857142857
Ensifer	Dongia	0.96157321685207	-0.96157321685207
Ensifer	Paucibacter	0.859696500568486	-0.859696500568486
Ensifer	Sphingopyxis	0.896428571428571	-0.896428571428571
Ensifer	Mycobacterium	0.939178604746138	-0.939178604746138
Ensifer	Polyangium	0.971428571428571	-0.971428571428571
Ensifer	Staphylococcus	0.9	-0.9
Ensifer	Blautia	0.926656223349523	-0.926656223349523
Ensifer	Blastococcus	0.845398014072545	-0.845398014072545
Ensifer	Acidovorax	0.861483811380479	-0.861483811380479
Ensifer	Dechloromonas	0.910714285714286	-0.910714285714286
Ensifer	Rhizobacter	0.964285714285714	-0.964285714285714
Ensifer	Marinicella	0.717857142857143	-0.717857142857143
Ensifer	Nitrosospira	0.92225237898823	-0.92225237898823
Ensifer	Rubellimicrobium	0.956211284416092	-0.956211284416092
Ensifer	Aquabacterium	0.925827000612216	-0.925827000612216
Ensifer	Luteolibacter	0.940967516374226	-0.940967516374226
